timestamp,latitude,longitude,temperature,humidity,wind_speed,wind_direction,pressure,precipitation,pm25,hour,day_of_week,month,day_of_year,season,pm25_lag_1,pm25_lag_3,pm25_lag_6,pm25_lag_12,pm25_lag_24,pm25_mean_3h,pm25_mean_6h,pm25_mean_12h,pm25_mean_24h,target_pm25
2021-01-02 00:00:00+00:00,28.6139,77.209,12.27,28.33,2.27,57.8,99.21,0.0,265.27,0,5,1,2,Winter,280.96,286.22,360.6,636.69,460.56,277.47,287.59,442.27833333333336,560.3120833333334,247.37
2021-01-02 01:00:00+00:00,28.6139,77.209,12.34,28.65,2.2,61.5,99.26,0.0,247.37,1,5,1,2,Winter,265.27,286.18,314.54,715.45,578.52,264.5333333333333,276.39500000000004,403.2716666666667,546.5141666666667,260.34
2021-01-02 02:00:00+00:00,28.6139,77.209,13.15,29.09,1.65,67.2,99.35,0.0,260.34,2,5,1,2,Winter,247.37,280.96,292.37,788.44,793.39,257.65999999999997,271.0566666666667,359.2633333333333,524.30375,285.02
2021-01-02 03:00:00+00:00,28.6139,77.209,13.83,31.38,1.08,90.5,99.45,1.19,285.02,3,5,1,2,Winter,260.34,265.27,286.22,794.57,990.36,264.24333333333334,270.8566666666666,316.80083333333334,494.9145833333334,298.6
2021-01-02 04:00:00+00:00,28.6139,77.209,13.09,40.57,0.86,112.7,99.52,1.78,298.6,4,5,1,2,Winter,285.02,247.37,286.18,504.18,972.37,281.32,272.9266666666667,299.6691666666666,466.84083333333336,299.83
2021-01-02 05:00:00+00:00,28.6139,77.209,13.15,47.96,1.7,86.3,99.47,1.65,299.83,5,5,1,2,Winter,298.6,260.34,280.96,418.56,999.18,294.48333333333335,276.07166666666666,289.775,437.7012500000001,293.54
2021-01-02 06:00:00+00:00,28.6139,77.209,14.37,50.36,2.7,71.6,99.35,1.27,293.54,6,5,1,2,Winter,299.83,285.02,265.27,360.6,993.08,297.3233333333333,280.78333333333336,284.18666666666667,408.55375000000004,252.64
2021-01-02 07:00:00+00:00,28.6139,77.209,16.81,50.55,3.16,87.3,99.24,0.56,252.64,7,5,1,2,Winter,293.54,298.6,247.37,314.54,467.21,282.00333333333333,281.66166666666663,279.02833333333336,399.6133333333333,260.02
2021-01-02 08:00:00+00:00,28.6139,77.209,17.55,52.83,3.41,96.9,99.14,0.16,260.02,8,5,1,2,Winter,252.64,299.83,260.34,292.37,391.62,268.73333333333335,281.60833333333335,276.33250000000004,394.13000000000005,262.68
2021-01-02 09:00:00+00:00,28.6139,77.209,17.63,56.43,3.65,103.6,99.05,0.03,262.68,9,5,1,2,Winter,260.02,293.54,285.02,286.22,351.61,258.44666666666666,277.885,274.37083333333334,390.4245833333334,270.04
2021-01-02 10:00:00+00:00,28.6139,77.209,17.04,60.83,3.52,106.3,99.02,0.03,270.04,10,5,1,2,Winter,262.68,252.64,298.6,286.18,424.39,264.24666666666667,273.125,273.0258333333333,383.9933333333334,289.87
2021-01-02 11:00:00+00:00,28.6139,77.209,14.97,71.94,2.15,110.5,99.02,0.02,289.87,11,5,1,2,Winter,270.04,260.02,299.83,280.96,541.73,274.1966666666667,271.465,273.7683333333334,373.49916666666667,304.84
2021-01-02 12:00:00+00:00,28.6139,77.209,13.06,78.64,2.32,129.0,99.06,0.01,304.84,12,5,1,2,Winter,289.87,262.68,293.54,265.27,636.69,288.25,273.3483333333333,277.06583333333333,359.6720833333334,318.95
2021-01-02 13:00:00+00:00,28.6139,77.209,13.02,79.1,2.94,145.7,99.12,0.03,318.95,13,5,1,2,Winter,304.84,270.04,252.64,247.37,715.45,304.55333333333334,284.4,283.0308333333333,343.15125000000006,324.3
2021-01-02 14:00:00+00:00,28.6139,77.209,12.71,81.5,3.53,150.1,99.15,0.05,324.3,14,5,1,2,Winter,318.95,289.87,260.02,260.34,788.44,316.03,295.11333333333334,288.36083333333335,323.8120833333333,326.47
2021-01-02 15:00:00+00:00,28.6139,77.209,12.17,85.67,3.2,149.7,99.16,0.14,326.47,15,5,1,2,Winter,324.3,304.84,262.68,285.02,794.57,323.24,305.745,291.815,304.3079166666667,334.33
2021-01-02 16:00:00+00:00,28.6139,77.209,11.53,90.38,2.62,146.2,99.12,0.16,334.33,16,5,1,2,Winter,326.47,318.95,270.04,298.6,504.18,328.3666666666666,316.46,294.7925,297.23083333333335,350.81
2021-01-02 17:00:00+00:00,28.6139,77.209,11.47,92.12,2.51,141.3,99.09,0.17,350.81,17,5,1,2,Winter,334.33,324.3,289.87,299.83,418.56,337.2033333333333,326.6166666666667,299.04083333333335,294.40791666666667,351.93
2021-01-02 18:00:00+00:00,28.6139,77.209,11.84,91.9,2.6,138.6,99.05,0.13,351.93,18,5,1,2,Winter,350.81,326.47,304.84,293.54,360.6,345.69,334.465,303.90666666666664,294.0466666666667,338.85
